"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.ASOC.age_4874955","CONS.ASOC.sex_4874955","CONS.ASOC.distance_4874955","CONS.SOCIAL.age_4874955","CONS.SOCIAL.sex_4874955","CONS.SOCIAL.distance_4874955","OFFs1","OFFs2","OFFASOC.age_4874955","OFFASOC.sex_4874955","OFFASOC.distance_4874955","OFFSOCIAL.age_4874955","OFFSOCIAL.sex_4874955","OFFSOCIAL.distance_4874955","convergence","loglik","Baseline.parameter1","s1","s2","ASOCIALage_4874955","ASOCIALsex_4874955","ASOCIALdistance_4874955","SOCIALage_4874955","SOCIALsex_4874955","SOCIALdistance_4874955","SE.Baseline.parameter1","SEs1","SEs2","SEasocialage_4874955","SEasocialsex_4874955","SEasocialdistance_4874955","SEsocialage_4874955","SEsocialsex_4874955","SEsocialdistance_4874955","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"67",67,"socialEffectsOnly","1:2","constant",1,2,0,0,0,3,4,5,0,0,0,0,0,0,0,0,TRUE,644.894943789864,1713872785.46574,0.346657693332892,0.031057559049021,0,0,0,-0.465867165201772,0.0884247142897534,1.04086603748161,NA,NA,NA,0,0,0,NA,NA,NA,1301.78988757973,1305.0206568105,197.752614418876,1.1443671643305e-43,1.12389312144057e-43
"89",89,"unconstrained","0:1","constant",0,1,0,0,2,3,0,4,0,0,0,0,0,0,0,0,TRUE,646.493241853748,1713872785.46574,0,0.0312120221531071,0,0,0.228972106756948,-0.358577645264068,0,1.24888192575569,NA,0,NA,0,0,NA,NA,0,NA,1302.9864837075,1305.20870592972,197.940663538096,1.04167211998907e-43,1.02303540938896e-43
"98",98,"unconstrained","0:1","constant",0,1,2,0,0,3,0,4,0,0,0,0,0,0,0,0,TRUE,646.565143829341,1713872785.46574,0,0.0312119906938372,-0.452318340527609,0,0,-0.340201135894563,0,1.25872410985513,NA,0,NA,NA,0,0,NA,0,NA,1303.13028765868,1305.3525098809,198.084467489282,9.69403111462625e-44,9.52059376426914e-44
"178",178,"socialEffectsOnly","0:1","constant",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,TRUE,649.277202426974,1713872785.46574,0,0.0312162386096816,0,0,0,0,0,0.726061980107667,NA,0,NA,0,0,0,0,0,NA,1304.55440485395,1305.38199106084,198.113948669222,9.55218340471343e-44,9.38128387280053e-44
"12",12,"unconstrained","0:1","constant",0,1,2,3,0,4,5,6,0,0,0,0,0,0,0,0,TRUE,643.475478783925,1713872785.46574,0,0.0308642005401305,-0.322924254259123,0.156513101567236,0,-0.470855566298511,0.0879236990092579,1.02874489837139,NA,0,NA,NA,NA,0,NA,NA,NA,1300.95095756785,1305.43095756785,198.162915176229,9.32115458582301e-44,9.15438842481956e-44
"165",165,"unconstrained","1:0","constant",1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,TRUE,648.017166839539,1713872785.46574,15.861977114628,0,0,-0.181362824446629,0,-11.7396071342284,0,0,NA,NA,0,0,NA,0,NA,0,0,1304.03433367908,1305.46290510765,198.194862716028,9.1734434995566e-44,9.00932005953449e-44
"144",144,"socialEffectsOnly","0:1","constant",0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,TRUE,648.03051847794,1713872785.46574,0,0.0307128544962053,0,0,0,-0.434303384300959,-0.140299146207079,0,NA,0,NA,0,0,0,NA,NA,0,1304.06103695588,1305.48960838445,198.22156599283,9.05177702982564e-44,8.88983034268248e-44
"125",125,"unconstrained","1:0","constant",1,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,TRUE,647.008016655824,1713872785.46574,15.9822333561605,0,0.230263740764326,-0.0336232563722094,0,-12.2201910319129,0,0,NA,NA,0,NA,NA,0,NA,0,0,1304.01603331165,1306.23825553387,198.970213142248,6.22539889996827e-44,6.11401936369904e-44
"11",11,"unconstrained","0:1","constant",0,1,2,0,3,4,5,6,0,0,0,0,0,0,0,0,TRUE,643.932820095648,1713872785.46574,0,0.0310255167721174,-0.305234139666972,0,0.376917485180029,-0.467591932957837,0.0916489747261911,1.03896143539628,NA,0,NA,NA,0,NA,NA,NA,NA,1301.8656401913,1306.3456401913,199.077597799674,5.899957761988e-44,5.79440074145046e-44
"72",72,"unconstrained","1:2","constant",1,2,0,3,0,4,0,5,0,0,0,0,0,0,0,0,TRUE,645.719027250669,1713872785.46574,0.145826623979216,0.0312085647440516,0,-0.00569202083451142,0,-0.408802522953288,0,0.851747873932523,NA,NA,NA,0,NA,0,NA,0,NA,1303.43805450134,1306.66882373211,199.400781340486,5.01961592340731e-44,4.92980922944564e-44
"23",23,"unconstrained","1:2","constant",1,2,0,3,0,4,5,6,0,0,0,0,0,0,0,0,TRUE,644.097855903496,1713872785.46574,0.444767410590647,0.0308831237117533,0,0.0917243940666786,0,-0.477941719481224,0.0901175827455348,1.05247157054734,NA,NA,NA,0,NA,0,NA,NA,NA,1302.19571180699,1306.67571180699,199.407669415371,5.00235791389211e-44,4.9128599855417e-44
"27",27,"unconstrained","1:2","constant",1,2,3,0,0,4,5,6,0,0,0,0,0,0,0,0,TRUE,644.107254861881,1713872785.46574,0.373184243414674,0.0309977944065913,-0.295710139787782,0,0,-0.478770021104533,0.0907295903193049,1.05777856934513,NA,NA,NA,NA,0,0,NA,NA,NA,1302.21450972376,1306.69450972376,199.426467332141,4.95556122460421e-44,4.86690054277176e-44
"152",152,"unconstrained","0:1","constant",0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,TRUE,648.807651139187,1713872785.46574,0,0.0312219108521911,-0.346797058526626,0,0,0,0,0.766596323858165,NA,0,NA,NA,0,0,0,0,NA,1305.61530227837,1307.04387370695,199.775831315324,4.16130378104634e-44,4.08685327709378e-44
"180",180,"socialEffectsOnly","0:1","constant",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,TRUE,650.229890682536,1713872785.46574,0,0.0312097229032762,0,0,0,-0.323887577043846,0,0,NA,0,NA,0,0,0,NA,0,0,1306.45978136507,1307.28736757197,200.019325180346,3.68430351210709e-44,3.61838709080665e-44
"22",22,"unconstrained","1:2","constant",1,2,0,0,3,4,5,6,0,0,0,0,0,0,0,0,TRUE,644.553326997957,1713872785.46574,0.384647814112624,0.0310370159441182,0,0,0.330059640502303,-0.46822924395825,0.0897047573526293,1.0477025494515,NA,NA,NA,0,0,NA,NA,NA,NA,1303.10665399591,1307.58665399591,200.318611604292,3.1722410361766e-44,3.11548600068074e-44
"44",44,"unconstrained","0:1","constant",0,1,2,0,3,4,0,5,0,0,0,0,0,0,0,0,TRUE,646.220594547183,1713872785.46574,0,0.0312119072408261,-0.454907210645657,0,0.238862353649135,-0.342822934388177,0,1.25514532063366,NA,0,NA,NA,0,NA,NA,0,NA,1304.44118909437,1307.67195832514,200.403915933514,3.0397829808173e-44,2.98539777206156e-44
