"","A01w","A05w","A22w","A29w","A31w","A32w","A39w","A56w","A73w","A75w","A78w","E00w","E01w","E06w","E11w","E17w","E37w","E38w","E51w","E79w","J00w","J06w","J12w","J16w","J17w","J34w","J35w","J39w","T13b","T13w","T15w","T90b","Y26b"
"A78w",0.00409400582800588,0.00545451232246888,0.163707616693123,0.00368449386966533,0.240613549964653,0.00368547417189633,0.00361604339203574,0.00298519052774296,0.00361434211522607,0.0383807420876134,0,0.00361656887215834,0.0452545253439907,0.100069244412744,0.163123050980993,0.00369231902867316,0.00402889134224831,0.152415164143565,0.00361375227168779,0.00361569817692136,0.00361607693391792,0.168253315850934,0.00298525875632056,0.00361246382440235,0.0533755120180309,0.0036154905855532,0.00361247032521889,0.00399049112695351,0.00404677258125604,0.0422936394089588,0.0841739681763481,0.0525015494160997,0.00361937005010593
"E00w",0.00571099785976715,0.0048306777583623,0.00361737990888931,0.0170966731302213,0.00361682780691976,0.0171767608055579,0.119130068657205,0.00328400827609412,0.102269318679107,0.00361445422680885,0.00361656887215834,0,0.00360508585516513,0.0036189257558025,0.00361644440799591,0.0166469832128996,0.00577014724183705,0.00361673658715692,0.0534682492221764,0.108893308912096,0.115548182158819,0.0036171555726584,0.00328551719296714,0.0746739658280376,0.00361255541458358,0.112570102468206,0.0700756699547382,0.00492087099447007,0.00558272968240054,0.0036085551926776,0.00361990669591698,0.00361188989177779,0.080561534379623
"E01w",0.00407828795310195,0.005415391000089,0.0437125718104217,0.00367234421894031,0.0447226208835672,0.00367331517814478,0.00360456579998531,0.00298123726147371,0.00360288033317735,0.0361390306287075,0.0452545253439907,0.00360508585516513,0,0.0412358555098415,0.0453563558641946,0.00368009244626693,0.00401391220704153,0.0447657618349264,0.00360229820099187,0.00360422392067466,0.00360459905701096,0.0440770883703075,0.00298129972546083,0.00360101946067371,0.0483259878322511,0.0036040182236717,0.00360102687675998,0.00397713173273136,0.00403177202241301,0.0471892144498604,0.0398593178632394,0.0496673553016293,0.00360786106436979
"E06w",0.00409727908558122,0.00546259521269837,0.12343317665259,0.00368699046854384,0.106132861836595,0.00368797256442638,0.00361839908424669,0.00298603535866945,0.0036166946059653,0.0376324516883221,0.100069244412744,0.0036189257558025,0.0412358555098415,0,0.095851205284025,0.00369483134134215,0.00403201018912954,0.100647027824974,0.00361610282970438,0.00361805317195068,0.00361843267921045,0.114163274068602,0.00298610474649709,0.00361481279245587,0.049124062536662,0.00361784520293403,0.00361481893951975,0.00399329071519557,0.00404989944254186,0.0398405780363756,0.155460325111617,0.0481718124823501,0.00362173217504119
"E11w",0.00409431433803618,0.00545403029568695,0.148285903929949,0.00368438679347838,0.186228568538572,0.00368536559791095,0.00361591821306458,0.0029855559671326,0.00361421769551572,0.0373937655382023,0.163123050980993,0.00361644440799591,0.0453563558641946,0.095851205284025,0,0.00369220960138138,0.00402918609244018,0.272943501850023,0.00361362432647427,0.00361557293042682,0.00361595169296407,0.175716390507705,0.00298562385419185,0.00361234028787551,0.0511823149006029,0.0036153654925409,0.00361234506429171,0.0039909885700762,0.0040471101126273,0.041306696035864,0.0818846376917015,0.0505131940322463,0.00361924415650792
"E17w",0.00606101170363445,0.00501287842613003,0.00369319096879453,0.054388921115778,0.00369260275311707,0.0604792390407618,0.0165262695381796,0.00332272659402414,0.0164434641491459,0.00368965159558692,0.00369231902867316,0.0166469832128996,0.00368009244626693,0.00369483134134215,0.00369220960138138,0,0.00612287631024261,0.0036925236825356,0.0160497818736807,0.0164877008640917,0.0165231708509685,0.00369295874194587,0.00332423912806627,0.0163533168352794,0.00368786011464341,0.0164838017775976,0.0161964150495033,0.00512561726557638,0.00590022097748638,0.00368352190279419,0.00369587490254766,0.00368715436976528,0.0167644611211619
"E37w",0.0226778353352551,0.0054763925975646,0.00403011164989995,0.00611380694687299,0.00402938664091496,0.00610625537814817,0.00576386509874877,0.00379874380384655,0.00576314550863094,0.00401799622298689,0.00402889134224831,0.00577014724183705,0.00401391220704153,0.00403201018912954,0.00402918609244018,0.00612287631024261,0,0.00402962509454822,0.00573884621954882,0.00576230706131888,0.00576357936026098,0.00402995121209494,0.00380046914536608,0.00576262565978559,0.00402001623352626,0.00576260736455117,0.00575167224590063,0.009244917131507,0.0220788232779134,0.00401325701384539,0.00403326623011355,0.00401920548434072,0.00577015858009755
"E38w",0.0040947749712004,0.00545502454505349,0.160492374832591,0.00368469910160367,0.184584393373729,0.00368567796829433,0.00361621015602244,0.00298570745443679,0.00361450930914184,0.0372195728849453,0.152415164143565,0.00361673658715692,0.0447657618349264,0.100647027824974,0.272943501850023,0.0036925236825356,0.00402962509454822,0,0.00361391528736088,0.0036158647751333,0.00361624363575435,0.200983034342123,0.00298577545337525,0.00361263154456597,0.0505152390026958,0.00361565730568217,0.00361263607855289,0.00399140926145767,0.00404755504567977,0.0409112168511827,0.0850403585698018,0.049836353713337,0.00361953685359196
"E51w",0.00568136408657828,0.00482420085945934,0.00361455991124177,0.0164155640627201,0.00361400924420676,0.0165007108669721,0.0598302409460811,0.00327797246781158,0.0564450998567762,0.00361171077367844,0.00361375227168779,0.0534682492221764,0.00360229820099187,0.00361610282970438,0.00361362432647427,0.0160497818736807,0.00573884621954882,0.00361391528736088,0,0.0613050084008387,0.0602922744972312,0.00361433504435254,0.0032794742845047,0.0514889183339773,0.00360977923999933,0.0603518931243539,0.0660542709375164,0.00490086056306885,0.00555434684507281,0.00360580199154866,0.00361708148433016,0.00360911492187958,0.0550076547463842
"E79w",0.00570352550600308,0.00482866208609241,0.00361650828164414,0.0169157591110708,0.00361595661121726,0.0169967521581505,0.241454296760344,0.00328259176597574,0.10985785762622,0.00361360083357976,0.00361569817692136,0.108893308912096,0.00360422392067466,0.00361805317195068,0.00361557293042682,0.0164877008640917,0.00576230706131888,0.0036158647751333,0.0613050084008387,0,0.246235399861328,0.00361628386327453,0.00328409916369856,0.0741034499092825,0.00361169479203699,0.263043319512411,0.0844766607797289,0.00491591534277157,0.00557562448499367,0.00360770060383304,0.00361903340614545,0.00361102966767524,0.0798567614351656
