local_identifier,tag_id,timestamp,dateOnly,ground_speed,individual_id,tag_local_identifier,location_long,location_lat,geometry,period,dist_to_carcass
Y26b,1732335705,2024-05-04T16:02:18Z,2024-05-04,0,1768017540,213592,31.3515586853027,30.0842151641846,"c(341135.077888907, 3329262.90697789)",2024-05-04 15:56:00,343291.7559278234
Y26b,1732335705,2024-05-04T16:12:18Z,2024-05-04,0,1768017540,213592,31.3515529632568,30.0842151641846,"c(341134.52636301, 3329262.91493421)",2024-05-04 15:56:00,343292.28769787523
Y26b,1732335705,2024-05-04T16:22:18Z,2024-05-04,0,1768017540,213592,31.3515491485596,30.0842399597168,"c(341134.198324148, 3329265.66838945)",2024-05-04 16:16:00,343291.91219820373
Y26b,1732335705,2024-05-04T16:32:18Z,2024-05-04,0,1768017540,213592,31.3515777587891,30.0842094421387,"c(341136.907159867, 3329262.24626832)",2024-05-04 16:16:00,343290.1518299874
Y26b,1732335705,2024-05-04T16:43:08Z,2024-05-04,0,1768017540,213592,31.351640701294,30.0842151641846,"c(341142.983093351, 3329262.79294027)",2024-05-04 16:36:00,343284.13389659714
Y26b,1732335705,2024-05-04T20:43:08Z,2024-05-04,0,1768017540,213592,31.3517417907715,30.0841083526611,"c(341152.555958779, 3329250.8142018)",2024-05-04 20:36:00,343277.88436555845
Y26b,1732335705,2024-05-05T00:44:05Z,2024-05-05,1.11111111111111,1768017540,213592,35.4454498291016,30.4608879089356,"c(734795.393445191, 3372398.38965098)",2024-05-05 00:36:00,75127.23196747134
Y26b,1732335705,2024-05-05T03:28:31Z,2024-05-05,0,1768017540,213592,35.44580078125,30.4609832763672,"c(734828.870549778, 3372409.69239898)",2024-05-05 03:16:00,75148.0969762378
Y26b,1732335705,2024-05-05T03:48:54Z,2024-05-05,0.277777777777778,1768017540,213592,35.445182800293,30.4608783721924,"c(734769.770430907, 3372396.7771405)",2024-05-05 03:36:00,75107.21463991885
Y26b,1732335705,2024-05-05T04:08:54Z,2024-05-05,0.277777777777778,1768017540,213592,35.4451141357422,30.4608421325684,"c(734763.262743553, 3372392.61666328)",2024-05-05 03:56:00,75104.29220259556
Y26b,1732335705,2024-05-05T04:28:11Z,2024-05-05,0,1768017540,213592,35.4453048706055,30.4608783721924,"c(734781.494272991, 3372397.03094616)",2024-05-05 04:16:00,75116.65194004355
Y26b,1732335705,2024-05-05T04:48:54Z,2024-05-05,0,1768017540,213592,35.4444732666016,30.4606304168701,"c(734702.220533404, 3372367.81250986)",2024-05-05 04:36:00,75068.710044881
Y26b,1732335705,2024-05-05T05:08:17Z,2024-05-05,0,1768017540,213592,35.4453392028809,30.4608898162842,"c(734784.764135775, 3372398.37108417)",2024-05-05 04:56:00,75118.55309795134
Y26b,1732335705,2024-05-05T05:28:19Z,2024-05-05,0.277777777777778,1768017540,213592,35.4453277587891,30.4611301422119,"c(734783.088200371, 3372424.99109981)",2024-05-05 05:16:00,75101.85416877232
Y26b,1732335705,2024-05-05T05:48:54Z,2024-05-05,0.277777777777778,1768017540,213592,35.4451217651367,30.4608707427979,"c(734763.926820351, 3372395.80440725)",2024-05-05 05:36:00,75102.99847973249
Y26b,1732335705,2024-05-05T07:28:14Z,2024-05-05,0.277777777777778,1768017540,213592,35.4441528320313,30.459997177124,"c(734672.964505773, 3372296.94223665)",2024-05-05 07:16:00,75085.72073561861
Y26b,1732335705,2024-05-05T07:48:10Z,2024-05-05,1.11111111111111,1768017540,213592,35.4440231323242,30.4612426757813,"c(734657.520029393, 3372434.75523493)",2024-05-05 07:36:00,74993.59006192941
Y26b,1732335705,2024-05-05T08:08:18Z,2024-05-05,0,1768017540,213592,31.3516368865967,30.084358215332,"c(341142.844119165, 3329278.65296135)",2024-05-05 07:56:00,343280.27698838006
Y26b,1732335705,2024-05-05T08:27:55Z,2024-05-05,0,1768017540,213592,31.351713180542,30.0842571258545,"c(341150.036172808, 3329267.34288447)",2024-05-05 08:16:00,343276.1627146105
Y26b,1732335705,2024-05-05T08:47:55Z,2024-05-05,0,1768017540,213592,31.3516349792481,30.0843734741211,"c(341142.684673264, 3329280.34678319)",2024-05-05 08:36:00,343280.00506879075
Y26b,1732335705,2024-05-05T09:08:32Z,2024-05-05,14.7222222222222,1768017540,213592,35.4343032836914,30.462028503418,"c(733722.137011306, 3372501.71686721)",2024-05-05 08:56:00,74192.22389965043
Y26b,1732335705,2024-05-05T09:18:05Z,2024-05-05,0,1768017540,213592,31.3515586853027,30.0842571258545,"c(341135.144980181, 3329267.55769497)",2024-05-05 09:16:00,343290.5205302507
Y26b,1732335705,2024-05-05T09:27:56Z,2024-05-05,0,1768017540,213592,31.3515682220459,30.0843238830566,"c(341136.170925297, 3329274.94330261)",2024-05-05 09:16:00,343287.66895497445
Y26b,1732335705,2024-05-05T09:37:55Z,2024-05-05,0,1768017540,213592,31.3515510559082,30.0842914581299,"c(341134.46450581, 3329271.37343561)",2024-05-05 09:36:00,343290.2188247509
Y26b,1732335705,2024-05-05T09:47:55Z,2024-05-05,0,1768017540,213592,31.3515605926514,30.0842361450195,"c(341135.295276466, 3329265.22968432)",2024-05-05 09:36:00,343290.9609647694
Y27b,1264170592,2024-05-01T09:59:59Z,2024-05-01,0,1267616282,202400,35.150260925293,30.9492454528809,"c(705408.465080056, 3425959.89406578)",2024-05-01 09:56:00,33646.45875258965
Y27b,1264170592,2024-05-01T10:10:19Z,2024-05-01,0,1267616282,202400,35.1507377624512,30.9487590789795,"c(705455.067560865, 3425906.85388785)",2024-05-01 09:56:00,33674.655129055245
Y27b,1264170592,2024-05-01T10:29:51Z,2024-05-01,0.555555555555556,1267616282,202400,35.1508598327637,30.9490699768066,"c(705466.065544395, 3425941.54569961)",2024-05-01 10:16:00,33695.69846446247
Y27b,1264170592,2024-05-01T10:39:34Z,2024-05-01,0,1267616282,202400,35.1506690979004,30.949125289917,"c(705447.722646316, 3425947.32579495)",2024-05-01 10:36:00,33679.994866498244
Y27b,1264170592,2024-05-01T10:50:19Z,2024-05-01,0,1267616282,202400,35.1507034301758,30.9491310119629,"c(705450.990797004, 3425948.02350394)",2024-05-01 10:36:00,33683.31997427594
Y27b,1264170592,2024-05-01T10:59:29Z,2024-05-01,0,1267616282,202400,35.4906692504883,33.818302154541,"c(730524.313487566, 3744799.67755483)",2024-05-01 10:56:00,334061.34543896874
Y27b,1264170592,2024-05-01T11:09:40Z,2024-05-01,20.2777777777778,1267616282,202400,35.097339630127,30.9083385467529,"c(700437.314662908, 3421328.55149093)",2024-05-01 10:56:00,27647.684040897366
Y27b,1264170592,2024-05-01T11:19:21Z,2024-05-01,5.55555555555556,1267616282,202400,35.0613861083984,30.8752956390381,"c(697068.310764241, 3417601.40494679)",2024-05-01 11:16:00,23771.100460014277
Y27b,1264170592,2024-05-01T11:29:21Z,2024-05-01,19.4444444444444,1267616282,202400,34.9895668029785,30.8589324951172,"c(690233.381536276, 3415662.84019353)",2024-05-01 11:16:00,16856.988127018863
Y27b,1264170592,2024-05-01T11:39:21Z,2024-05-01,12.2222222222222,1267616282,202400,34.9204368591309,30.8397254943848,"c(683658.8943028, 3413417.94996337)",2024-05-01 11:36:00,10524.68924410278
